,0
0,sport
1,sport
2,sport
3,politics
4,entertainment
5,politics
6,business
7,tech
8,tech
9,entertainment
10,politics
11,politics
12,business
13,business
14,entertainment
15,sport
16,tech
17,business
18,entertainment
19,politics
20,tech
21,tech
22,business
23,politics
24,business
25,politics
26,entertainment
27,sport
28,business
29,sport
30,business
31,business
32,politics
33,business
34,business
35,sport
36,business
37,politics
38,sport
39,sport
40,entertainment
41,entertainment
42,business
43,business
44,politics
45,business
46,business
47,tech
48,sport
49,business
50,tech
51,entertainment
52,business
53,tech
54,tech
55,tech
56,entertainment
57,sport
58,sport
59,politics
60,entertainment
61,entertainment
62,sport
63,sport
64,business
65,business
66,sport
67,sport
68,business
69,entertainment
70,tech
71,business
72,sport
73,business
74,entertainment
75,tech
76,politics
77,sport
78,business
79,business
80,entertainment
81,tech
82,tech
83,tech
84,tech
85,business
86,entertainment
87,politics
88,business
89,sport
90,sport
91,politics
92,entertainment
93,entertainment
94,business
95,politics
96,sport
97,tech
98,tech
99,entertainment
100,entertainment
101,politics
102,sport
103,business
104,politics
105,business
106,tech
107,sport
108,politics
109,politics
110,tech
111,sport
112,sport
113,tech
114,sport
115,entertainment
116,politics
117,sport
118,sport
119,sport
120,politics
121,entertainment
122,business
123,sport
124,business
125,sport
126,business
127,politics
128,sport
129,sport
130,business
131,sport
132,business
133,tech
134,politics
135,sport
136,politics
137,sport
138,politics
139,sport
140,sport
141,tech
142,entertainment
143,sport
144,entertainment
145,business
146,business
147,sport
148,sport
149,sport
150,business
151,politics
152,business
153,politics
154,sport
155,tech
156,tech
157,sport
158,sport
159,politics
160,sport
161,politics
162,business
163,tech
164,business
165,politics
166,tech
167,sport
168,sport
169,sport
170,business
171,business
172,entertainment
173,entertainment
174,tech
175,politics
176,tech
177,tech
178,politics
179,sport
180,politics
181,business
182,politics
183,sport
184,politics
185,business
186,entertainment
187,entertainment
188,entertainment
189,sport
190,tech
191,tech
192,entertainment
193,entertainment
194,sport
195,entertainment
196,politics
197,sport
198,sport
199,sport
200,tech
201,entertainment
202,tech
203,sport
204,business
205,entertainment
206,politics
207,business
208,politics
209,tech
210,sport
211,entertainment
212,entertainment
213,entertainment
214,politics
215,business
216,tech
217,sport
218,tech
219,tech
220,sport
221,tech
222,business
223,sport
224,tech
225,sport
226,tech
227,tech
228,politics
229,politics
230,entertainment
231,sport
232,sport
233,sport
234,politics
235,politics
236,business
237,sport
238,business
239,entertainment
240,tech
241,business
242,sport
243,business
244,entertainment
245,entertainment
246,politics
247,business
248,tech
249,entertainment
250,entertainment
251,tech
252,tech
253,sport
254,business
255,entertainment
256,tech
257,sport
258,entertainment
259,tech
260,business
261,tech
262,business
263,tech
264,sport
265,sport
266,tech
267,politics
268,entertainment
269,sport
270,sport
271,tech
272,politics
273,sport
274,sport
275,business
276,tech
277,entertainment
278,politics
279,entertainment
280,entertainment
281,politics
282,sport
283,politics
284,sport
285,entertainment
286,business
287,tech
288,politics
289,politics
290,politics
291,business
292,sport
293,tech
294,business
295,tech
296,entertainment
297,entertainment
298,business
299,business
300,politics
301,politics
302,sport
303,politics
304,business
305,business
306,business
307,sport
308,business
309,sport
310,business
311,politics
312,sport
313,business
314,politics
315,business
316,sport
317,entertainment
318,sport
319,sport
320,politics
321,tech
322,sport
323,sport
324,politics
325,sport
326,sport
327,tech
328,business
329,sport
330,business
331,politics
332,sport
333,entertainment
334,sport
335,politics
336,entertainment
337,politics
338,business
339,sport
340,business
341,sport
342,politics
343,politics
344,business
345,politics
346,tech
347,tech
348,tech
349,politics
350,business
351,entertainment
352,politics
353,entertainment
354,tech
355,business
356,sport
357,politics
358,sport
359,business
360,politics
361,sport
362,politics
363,politics
364,entertainment
365,tech
366,tech
367,business
368,business
369,politics
370,entertainment
371,business
372,entertainment
373,politics
374,sport
375,business
376,sport
377,business
378,entertainment
379,sport
380,business
381,business
382,tech
383,sport
384,politics
385,business
386,politics
387,politics
388,sport
389,sport
390,sport
391,sport
392,tech
393,sport
394,tech
395,sport
396,sport
397,tech
398,politics
399,tech
400,business
401,sport
402,tech
403,business
404,sport
405,politics
406,business
407,politics
408,politics
409,sport
410,business
411,tech
412,politics
413,entertainment
414,sport
415,business
416,entertainment
417,sport
418,entertainment
419,politics
420,sport
421,entertainment
422,entertainment
423,politics
424,sport
425,politics
426,sport
427,sport
428,business
429,entertainment
430,politics
431,business
432,sport
433,entertainment
434,tech
435,politics
436,politics
437,sport
438,business
439,sport
440,sport
441,politics
442,tech
443,sport
444,politics
445,sport
446,entertainment
